2026-01-19 21:53:14,331 - INFO - Database schema created/verified at ingredients.db
2026-01-19 21:53:14,333 - INFO - Found 250 ingredients in CSV file
2026-01-19 21:53:14,334 - INFO - Processing 1/250: Apple
2026-01-19 21:53:14,334 - INFO - Searching for: Apple
2026-01-19 21:53:15,887 - INFO - Found: APPLE (FDC ID: 454004)
2026-01-19 21:53:17,012 - ERROR - Error processing CSV file: OperationalError - 44 values for 45 columns
2026-01-19 21:54:30,802 - WARNING - Row 74: Empty ingredient name, skipping
2026-01-19 21:54:30,802 - WARNING - Row 75: Empty ingredient name, skipping
2026-01-19 21:54:30,803 - WARNING - Row 76: Empty ingredient name, skipping
2026-01-19 21:54:30,803 - WARNING - Row 77: Empty ingredient name, skipping
2026-01-19 21:54:30,803 - WARNING - Row 78: Empty ingredient name, skipping
2026-01-19 21:54:30,803 - WARNING - Row 79: Empty ingredient name, skipping
2026-01-19 21:54:30,803 - WARNING - Row 80: Empty ingredient name, skipping
2026-01-19 21:54:30,803 - WARNING - Row 81: Empty ingredient name, skipping
2026-01-19 21:54:30,803 - WARNING - Row 82: Empty ingredient name, skipping
2026-01-19 21:54:30,803 - WARNING - Row 83: Empty ingredient name, skipping
2026-01-19 21:54:30,804 - WARNING - Row 84: Empty ingredient name, skipping
2026-01-19 21:54:30,804 - WARNING - Row 85: Empty ingredient name, skipping
2026-01-19 21:54:30,804 - WARNING - Row 86: Empty ingredient name, skipping
2026-01-19 21:54:30,804 - WARNING - Row 87: Empty ingredient name, skipping
2026-01-19 21:54:30,804 - WARNING - Row 88: Empty ingredient name, skipping
2026-01-19 21:54:30,804 - WARNING - Row 89: Empty ingredient name, skipping
2026-01-19 21:54:30,804 - WARNING - Row 90: Empty ingredient name, skipping
2026-01-19 21:54:30,804 - WARNING - Row 91: Empty ingredient name, skipping
2026-01-19 21:54:30,804 - WARNING - Row 92: Empty ingredient name, skipping
2026-01-19 21:54:30,805 - WARNING - Row 93: Empty ingredient name, skipping
2026-01-19 21:54:30,805 - WARNING - Row 94: Empty ingredient name, skipping
2026-01-19 21:54:30,805 - WARNING - Row 95: Empty ingredient name, skipping
2026-01-19 21:54:30,805 - WARNING - Row 96: Empty ingredient name, skipping
2026-01-19 21:54:30,805 - WARNING - Row 97: Empty ingredient name, skipping
